Particle,Energy (MeV) ,Differential flux (/m^2/s),Differential flux (/cm^2/s)
Proton,1.00E+00,2.20E-07,2.77E-08
Proton,1.10E+00,2.67E-07,3.36E-08
Proton,1.20E+00,3.19E-07,4.01E-08
Proton,1.40E+00,4.35E-07,5.46E-08
Proton,1.60E+00,5.67E-07,7.12E-08
Proton,1.80E+00,7.15E-07,8.98E-08
Proton,2.00E+00,8.78E-07,1.10E-07
Proton,2.20E+00,2.14E-07,2.69E-08
Proton,2.50E+00,2.77E-07,3.48E-08
Proton,2.80E+00,3.47E-07,4.36E-08
Proton,3.20E+00,4.52E-07,5.69E-08
Proton,3.50E+00,5.40E-07,6.78E-08
Proton,4.00E+00,7.00E-07,8.79E-08
Proton,4.50E+00,8.78E-07,1.10E-07
Proton,5.00E+00,1.07E-06,1.35E-07
Proton,5.50E+00,1.29E-06,1.62E-07
Proton,6.30E+00,1.66E-06,2.08E-07
Proton,7.10E+00,2.07E-06,2.60E-07
Proton,8.00E+00,2.57E-06,3.23E-07
Proton,9.00E+00,3.17E-06,3.99E-07
Proton,1.00E+01,3.83E-06,4.81E-07
Proton,1.10E+01,4.52E-06,5.68E-07
Proton,1.20E+01,5.25E-06,6.60E-07
Proton,1.40E+01,6.83E-06,8.58E-07
Proton,1.60E+01,8.52E-06,1.07E-06
Proton,1.80E+01,1.03E-05,1.30E-06
Proton,2.00E+01,1.22E-05,1.53E-06
Proton,2.20E+01,1.42E-05,1.78E-06
Proton,2.50E+01,1.73E-05,2.17E-06
Proton,2.80E+01,2.05E-05,2.57E-06
Proton,3.20E+01,2.48E-05,3.12E-06
Proton,3.50E+01,2.82E-05,3.55E-06
Proton,4.00E+01,3.39E-05,4.27E-06
Proton,4.50E+01,3.97E-05,4.99E-06
Proton,5.00E+01,1.68E-05,2.11E-06
Proton,5.50E+01,1.93E-05,2.42E-06
Proton,6.30E+01,2.33E-05,2.92E-06
Proton,7.10E+01,2.73E-05,3.43E-06
Proton,8.00E+01,3.18E-05,3.99E-06
Proton,9.00E+01,3.68E-05,4.62E-06
Proton,1.00E+02,4.17E-05,5.23E-06
Proton,1.10E+02,4.64E-05,5.84E-06
Proton,1.20E+02,5.11E-05,6.42E-06
Proton,1.40E+02,6.00E-05,7.53E-06
Proton,1.60E+02,1.52E-04,1.91E-05
Proton,1.80E+02,5.78E-04,7.26E-05
Proton,2.00E+02,1.15E-03,1.44E-04
Proton,2.20E+02,1.77E-03,2.23E-04
Proton,2.50E+02,2.76E-03,3.47E-04
Proton,2.80E+02,3.78E-03,4.75E-04
Proton,3.20E+02,5.17E-03,6.49E-04
Proton,3.50E+02,6.35E-03,7.97E-04
Proton,4.00E+02,8.79E-03,1.10E-03
Proton,4.50E+02,1.15E-02,1.45E-03
Proton,5.00E+02,1.41E-02,1.77E-03
Proton,5.50E+02,1.65E-02,2.08E-03
Proton,6.30E+02,2.01E-02,2.52E-03
Proton,7.10E+02,2.31E-02,2.90E-03
Proton,8.00E+02,2.61E-02,3.28E-03
Proton,9.00E+02,2.88E-02,3.62E-03
Proton,1.00E+03,3.10E-02,3.89E-03
Proton,1.10E+03,3.27E-02,4.10E-03
Proton,1.20E+03,3.40E-02,4.27E-03
Proton,1.40E+03,3.57E-02,4.49E-03
Proton,1.60E+03,3.66E-02,4.60E-03
Proton,1.80E+03,3.69E-02,4.63E-03
Proton,2.00E+03,3.68E-02,4.63E-03
Proton,2.20E+03,3.67E-02,4.61E-03
Proton,2.50E+03,3.60E-02,4.52E-03
Proton,2.80E+03,3.48E-02,4.37E-03
Proton,3.20E+03,3.30E-02,4.14E-03
Proton,3.50E+03,3.13E-02,3.94E-03
Proton,4.00E+03,2.84E-02,3.57E-03
Proton,4.50E+03,2.56E-02,3.22E-03
Proton,5.00E+03,2.30E-02,2.89E-03
Proton,5.50E+03,2.07E-02,2.60E-03
Proton,6.30E+03,1.76E-02,2.21E-03
Proton,7.10E+03,1.51E-02,1.90E-03
Proton,8.00E+03,1.31E-02,1.64E-03
Proton,9.00E+03,1.13E-02,1.42E-03
Proton,1.00E+04,9.61E-03,1.21E-03
Proton,1.10E+04,8.19E-03,1.03E-03
Proton,1.20E+04,6.99E-03,8.78E-04
Proton,1.40E+04,5.15E-03,6.48E-04
Proton,1.60E+04,3.90E-03,4.90E-04
Proton,1.80E+04,3.00E-03,3.77E-04
Proton,2.00E+04,2.36E-03,2.96E-04
Proton,3.00E+04,8.81E-04,1.11E-04
Proton,4.00E+04,4.24E-04,5.33E-05
Proton,5.00E+04,2.38E-04,2.99E-05
Proton,6.00E+04,1.47E-04,1.85E-05
Proton,7.00E+04,9.81E-05,1.23E-05
Proton,8.00E+04,6.88E-05,8.65E-06
Proton,9.00E+04,5.03E-05,6.32E-06
Proton,1.00E+05,3.80E-05,4.77E-06