Epoch Time (s),Detector,CMND # in cmnd list,CMND # in Buff1 Graph
1663200000.0,Both Detectors,33,0
1663200000.0,Both Detectors,33,0
1663200000.0,Both Detectors,33,0
1663200000.012726,Both Detectors,33,0
1663200001.012726,Both Detectors,33,0
1663200002.012726,Both Detectors,33,0
1663200182.012726,PMT,34,3
1663200182.012726,SiPM,35,3
1663200182.012726,PMT,34,3
1663200182.012726,SiPM,35,3
1663200217.970764,PMT,25,12
1663200227.970764,SiPM,26,12
1663200267.973053,PMT,27,11
1663200277.973053,SiPM,28,11
1663200287.973053,PMT,27,11
1663200297.973053,SiPM,28,11
1663200357.981354,PMT,23,14
1663200367.981354,SiPM,24,14
1663200407.981354,PMT,23,14
1663200417.981354,SiPM,24,14
1663202700.009491,PMT,36,12
1663202710.009491,SiPM,37,12
1663202740.009491,Both Detectors,33,0
1663202760.009491,Both Detectors,33,0
1663202765.009491,Both Detectors,33,0
1663205400.0,Both Detectors,33,0
1663205400.0,Both Detectors,33,0
1663205400.0,Both Detectors,33,0
1663205400.014404,Both Detectors,33,0
1663205401.014404,Both Detectors,33,0
1663205402.014404,Both Detectors,33,0
1663205582.014404,PMT,34,3
1663205585.014404,PMT,34,3
1663205585.014404,SiPM,35,3
1663205594.968445,PMT,25,12
1663205604.968445,SiPM,26,12
1663205614.968445,PMT,25,12
1663205624.968445,SiPM,26,12
1663205664.972809,PMT,27,11
1663205674.972809,SiPM,28,11
1663205684.972809,PMT,27,11
1663205694.972809,SiPM,28,11
1663205754.977264,PMT,23,14
1663205764.977264,SiPM,24,14
1663205804.977264,PMT,23,14
1663205814.977264,SiPM,24,14
1663208100.009003,PMT,36,12
1663208110.009003,SiPM,37,12
1663208140.009003,Both Detectors,33,0
1663208160.009003,Both Detectors,33,0
1663208165.009003,Both Detectors,33,0
1663210800.0,Both Detectors,33,0
1663210800.0,Both Detectors,33,0
1663210800.0,Both Detectors,33,0
1663210800.007416,Both Detectors,33,0
1663210801.007416,Both Detectors,33,0
1663210802.007416,Both Detectors,33,0
1663210982.007416,PMT,34,3
1663210985.007416,PMT,34,3
1663210985.007416,SiPM,35,3
1663210994.964203,PMT,25,12
1663211004.964203,SiPM,26,12
1663211014.964203,PMT,25,12
1663211024.964203,SiPM,26,12
1663211064.968506,PMT,27,11
1663211074.968506,SiPM,28,11
1663211084.968506,PMT,27,11
1663211094.968506,SiPM,28,11
1663211154.972961,PMT,23,14
1663211164.972961,SiPM,24,14
1663211204.972961,PMT,23,14
1663211214.972961,SiPM,24,14
1663213500.000916,PMT,36,12
1663213510.000916,SiPM,37,12
1663213540.000916,Both Detectors,33,0
1663213560.000916,Both Detectors,33,0
1663213565.000916,Both Detectors,33,0
1663216200.0,Both Detectors,33,0
1663216200.0,Both Detectors,33,0
1663216200.0,Both Detectors,33,0
1663216200.005768,Both Detectors,33,0
1663216201.005768,Both Detectors,33,0
1663216202.005768,Both Detectors,33,0
1663216382.005768,PMT,34,3
1663216382.005768,SiPM,35,3
1663216382.005768,PMT,34,3
1663216382.005768,SiPM,35,3
1663216391.965424,PMT,25,12
1663216401.965424,SiPM,26,12
1663216411.965424,PMT,25,12
1663216421.965424,SiPM,26,12
1663216461.969696,PMT,27,11
1663216471.969696,SiPM,28,11
1663216481.969696,PMT,27,11
1663216491.969696,SiPM,28,11
1663216551.974182,PMT,23,14
1663216561.974182,SiPM,24,14
1663216601.974182,PMT,23,14
1663216611.974182,SiPM,24,14
1663218900.003387,PMT,36,12
1663218910.003387,SiPM,37,12
1663218940.003387,Both Detectors,33,0
1663218960.003387,Both Detectors,33,0
1663218965.003387,Both Detectors,33,0
1663221600.0,Both Detectors,33,0
1663221600.0,Both Detectors,33,0
1663221600.0,Both Detectors,33,0
1663221600.013702,Both Detectors,33,0
1663221601.013702,Both Detectors,33,0
1663221602.013702,Both Detectors,33,0
1663221782.013702,PMT,34,3
1663221785.013702,PMT,34,3
1663221797.973969,PMT,25,12
1663221807.973969,SiPM,26,12
1663221817.973969,PMT,25,12
1663221827.973969,SiPM,26,12
1663221867.982239,PMT,27,11
1663221877.982239,SiPM,28,11
1663221887.982239,PMT,27,11
1663221897.982239,SiPM,28,11
1663221957.986603,PMT,23,14
1663221967.986603,SiPM,24,14
1663222007.986603,PMT,23,14
1663222017.986603,SiPM,24,14
1663224300.004639,PMT,36,12
1663224310.004639,SiPM,37,12
1663224340.004639,Both Detectors,33,0
1663224360.004639,Both Detectors,33,0
1663224365.004639,Both Detectors,33,0
1663227000.0,Both Detectors,33,0
1663227000.0,Both Detectors,33,0
1663227000.0,Both Detectors,33,0
1663227000.013641,Both Detectors,33,0
1663227001.013641,Both Detectors,33,0
1663227002.013641,Both Detectors,33,0
1663227182.013641,PMT,34,3
1663227182.013641,SiPM,35,3
1663227182.013641,PMT,34,3
1663227194.977631,PMT,25,12
1663227204.977631,SiPM,26,12
1663227214.977631,PMT,25,12
1663227224.977631,SiPM,26,12
1663227264.982086,PMT,27,11
1663227274.982086,SiPM,28,11
1663227284.982086,PMT,27,11
1663227294.982086,SiPM,28,11
1663227354.990295,PMT,23,14
1663227364.990295,SiPM,24,14
1663227404.990295,PMT,23,14
1663227414.990295,SiPM,24,14
1663229700.009796,PMT,36,12
1663229710.009796,SiPM,37,12
1663229740.009796,Both Detectors,33,0
1663229760.009796,Both Detectors,33,0
1663229765.009796,Both Detectors,33,0
1663232400.0,Both Detectors,33,0
1663232400.0,Both Detectors,33,0
1663232400.0,Both Detectors,33,0
1663232400.007202,Both Detectors,33,0
1663232401.007202,Both Detectors,33,0
1663232402.007202,Both Detectors,33,0
1663232582.007202,PMT,34,3
1663232585.007202,PMT,34,3
1663232598.964844,PMT,25,12
1663232608.964844,SiPM,26,12
1663232618.964844,PMT,25,12
1663232628.964844,SiPM,26,12
1663232668.969208,PMT,27,11
1663232678.969208,SiPM,28,11
1663232688.969208,PMT,27,11
1663232698.969208,SiPM,28,11
1663232758.974731,PMT,23,14
1663232768.974731,SiPM,24,14
1663232808.974731,PMT,23,14
1663232818.974731,SiPM,24,14
1663235100.003021,PMT,36,12
1663235110.003021,SiPM,37,12
1663235140.003021,Both Detectors,33,0
1663235160.003021,Both Detectors,33,0
1663235165.003021,Both Detectors,33,0
1663237800.0,Both Detectors,33,0
1663237800.0,Both Detectors,33,0
1663237800.0,Both Detectors,33,0
1663237800.009338,Both Detectors,33,0
1663237801.009338,Both Detectors,33,0
1663237802.009338,Both Detectors,33,0
1663237982.009338,PMT,34,3
1663237985.009338,PMT,34,3
1663237985.009338,SiPM,35,3
1663237994.967773,PMT,25,12
1663238017.967773,PMT,25,12
1663238027.967773,SiPM,26,12
1663238067.974121,PMT,27,11
1663238077.974121,SiPM,28,11
1663238087.974121,PMT,27,11
1663238097.974121,SiPM,28,11
1663238157.978546,PMT,23,14
1663238167.978546,SiPM,24,14
1663238207.978546,PMT,23,14
1663238217.978546,SiPM,24,14
1663240500.005798,PMT,36,12
1663240510.005798,SiPM,37,12
1663240540.005798,Both Detectors,33,0
1663240560.005798,Both Detectors,33,0
1663240565.005798,Both Detectors,33,0
1663243200.0,Both Detectors,33,0
1663243200.0,Both Detectors,33,0
1663243200.0,Both Detectors,33,0
1663243200.008575,Both Detectors,33,0
1663243201.008575,Both Detectors,33,0
1663243202.008575,Both Detectors,33,0
1663243382.008575,PMT,34,3
1663243385.008575,PMT,34,3
1663243397.965759,PMT,25,12
1663243420.965759,PMT,25,12
1663243430.965759,SiPM,26,12
1663243470.969025,PMT,27,11
1663243480.969025,SiPM,28,11
1663243490.969025,PMT,27,11
1663243500.969025,SiPM,28,11
1663243560.973389,PMT,23,14
1663243570.973389,SiPM,24,14
1663243610.973389,PMT,23,14
1663243620.973389,SiPM,24,14
1663245900.000916,PMT,36,12
1663245910.000916,SiPM,37,12
1663245940.000916,Both Detectors,33,0
1663245960.000916,Both Detectors,33,0
1663245965.000916,Both Detectors,33,0
1663248600.0,Both Detectors,33,0
1663248600.0,Both Detectors,33,0
1663248600.0,Both Detectors,33,0
1663248600.014435,Both Detectors,33,0
1663248601.014435,Both Detectors,33,0
1663248602.014435,Both Detectors,33,0
1663248782.014435,PMT,34,3
1663248785.014435,PMT,34,3
1663248797.970673,PMT,25,12
1663248820.970673,PMT,25,12
1663248830.970673,SiPM,26,12
1663248870.973846,PMT,27,11
1663248880.973846,SiPM,28,11
1663248890.973846,PMT,27,11
1663248900.973846,SiPM,28,11
1663248960.97818,PMT,23,14
1663248970.97818,SiPM,24,14
1663249010.97818,PMT,23,14
1663249020.97818,SiPM,24,14
1663251300.001678,PMT,36,12
1663251310.001678,SiPM,37,12
1663251340.001678,Both Detectors,33,0
1663251360.001678,Both Detectors,33,0
1663251365.001678,Both Detectors,33,0
1663254000.0,Both Detectors,33,0
1663254000.0,Both Detectors,33,0
1663254000.0,Both Detectors,33,0
1663254000.010071,Both Detectors,33,0
1663254001.010071,Both Detectors,33,0
1663254002.010071,Both Detectors,33,0
1663254182.010071,PMT,34,3
1663254185.010071,PMT,34,3
1663254185.010071,SiPM,35,3
1663254194.972687,PMT,25,12
1663254204.972687,SiPM,26,12
1663254214.972687,PMT,25,12
1663254224.972687,SiPM,26,12
1663254264.976868,PMT,27,11
1663254274.976868,SiPM,28,11
1663254284.976868,PMT,27,11
1663254294.976868,SiPM,28,11
1663254354.981201,PMT,23,14
1663254364.981201,SiPM,24,14
1663254404.981201,PMT,23,14
1663254414.981201,SiPM,24,14
1663256700.0047,PMT,36,12
1663256710.0047,SiPM,37,12
1663256740.0047,Both Detectors,33,0
1663256760.0047,Both Detectors,33,0
1663256765.0047,Both Detectors,33,0
1663259400.0,Both Detectors,33,0
1663259400.0,Both Detectors,33,0
1663259400.0,Both Detectors,33,0
1663259400.00766,Both Detectors,33,0
1663259401.00766,Both Detectors,33,0
1663259402.00766,Both Detectors,33,0
1663259582.00766,PMT,34,3
1663259585.00766,PMT,34,3
1663259597.966522,PMT,25,12
1663259607.966522,SiPM,26,12
1663259617.966522,PMT,25,12
1663259627.966522,SiPM,26,12
1663259667.970642,PMT,27,11
1663259677.970642,SiPM,28,11
1663259687.970642,PMT,27,11
1663259697.970642,SiPM,28,11
1663259757.974792,PMT,23,14
1663259767.974792,SiPM,24,14
1663259807.974792,PMT,23,14
1663259817.974792,SiPM,24,14
1663262100.010132,PMT,36,12
1663262110.010132,SiPM,37,12
1663262140.010132,Both Detectors,33,0
1663262160.010132,Both Detectors,33,0
1663262165.010132,Both Detectors,33,0
1663264800.0,Both Detectors,33,0
1663264800.0,Both Detectors,33,0
1663264800.0,Both Detectors,33,0
1663264800.01239,Both Detectors,33,0
1663264801.01239,Both Detectors,33,0
1663264802.01239,Both Detectors,33,0
1663264982.01239,PMT,34,3
1663264985.01239,PMT,34,3
1663264997.97757,PMT,25,12
1663265020.97757,PMT,25,12
1663265030.97757,SiPM,26,12
1663265070.98053,PMT,27,11
1663265080.98053,SiPM,28,11
1663265090.98053,PMT,27,11
1663265100.98053,SiPM,28,11
1663265160.984528,PMT,23,14
1663265170.984528,SiPM,24,14
1663265210.984528,PMT,23,14
1663265220.984528,SiPM,24,14
1663267500.004578,PMT,36,12
1663267510.004578,SiPM,37,12
1663267540.004578,Both Detectors,33,0
1663267560.004578,Both Detectors,33,0
1663267565.004578,Both Detectors,33,0
1663270200.0,Both Detectors,33,0
1663270200.0,Both Detectors,33,0
1663270200.0,Both Detectors,33,0
1663270200.010742,Both Detectors,33,0
1663270201.010742,Both Detectors,33,0
1663270202.010742,Both Detectors,33,0
1663270382.010742,PMT,34,3
1663270382.010742,SiPM,35,3
1663270382.010742,PMT,34,3
1663270382.010742,SiPM,35,3
1663270391.973419,PMT,25,12
1663270414.973419,PMT,25,12
1663270424.973419,SiPM,26,12
1663270464.976562,PMT,27,11
1663270474.976562,SiPM,28,11
1663270484.976562,PMT,27,11
1663270494.976562,SiPM,28,11
1663270554.980438,PMT,23,14
1663270564.980438,SiPM,24,14
1663270604.980438,PMT,23,14
1663270614.980438,SiPM,24,14
1663272900.005981,PMT,36,12
1663272910.005981,SiPM,37,12
1663272940.005981,Both Detectors,33,0
1663272960.005981,Both Detectors,33,0
1663272965.005981,Both Detectors,33,0
1663275600.0,Both Detectors,33,0
1663275600.0,Both Detectors,33,0
1663275600.0,Both Detectors,33,0
1663275600.006958,Both Detectors,33,0
1663275601.006958,Both Detectors,33,0
1663275602.006958,Both Detectors,33,0
1663275782.006958,PMT,34,3
1663275785.006958,PMT,34,3
1663275797.974365,PMT,25,12
1663275820.974365,PMT,25,12
1663275830.974365,SiPM,26,12
1663275870.977325,PMT,27,11
1663275880.977325,SiPM,28,11
1663275890.977325,PMT,27,11
1663275900.977325,SiPM,28,11
1663275960.981323,PMT,23,14
1663275970.981323,SiPM,24,14
1663276010.981323,PMT,23,14
1663276020.981323,SiPM,24,14
1663278300.008209,PMT,36,12
1663278310.008209,SiPM,37,12
1663278340.008209,Both Detectors,33,0
1663278360.008209,Both Detectors,33,0
1663278365.008209,Both Detectors,33,0
1663278365.008209,Both Detectors,-1,17
1663278365.008209,Both Detectors,-1,17
