status,time,description,ID_in_Graph
1,1657892307.986206,read the current time ,1657892307.986206,
1,1657892311.486206,"('delay of ', 3.5)",SE0>script delay 3500,
1,1657892311.486267,read the current time ,1657892311.486267,
1,1657892311.486267,23,14,"('cmnd found in list ', 'SE0>csp txrx 12 9 3000 000000094004400460014004')"
1,1657892321.486267,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657892321.486267,24,14,"('cmnd found in list ', 'SE0>csp txrx 13 9 3000 0F0F00096006600660066006')"
1,1657892361.486267,"('delay of ', 40.0)",SE0>script delay 40000,
-1,1657892364.486267,23,14,"('cmnd found in list ', 'SE0>csp txrx 12 9 3000 000000094004400460014004')"
1,1657892374.486267,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657892374.486267,24,14,"('cmnd found in list ', 'SE0>csp txrx 13 9 3000 0F0F00096006600660066006')"
1,1657892374.491699,read the current time ,1657892374.491699,
1,1657892378.991699,"('delay of ', 4.5)",SE0>script delay 4500,
1,1657892378.992859,read the current time ,1657892378.992859,
1,1657894500.0,"('delay until ', 1657894500.0)",SE0>script delayuntil 1657894500,
1,1657894500.00647,read the current time ,1657894500.00647,
-1,1657894503.00647,36,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 08')"
1,1657894513.00647,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657894513.00647,37,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 08')"
1,1657894543.00647,"('delay of ', 30.0)",SE0>script delay 30000,
1,1657894543.00647,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0008000000')"
1,1657894563.00647,"('delay of ', 20.0)",SE0>script delay 20000,
1,1657894563.00647,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A000000')"
1,1657894568.00647,"('delay of ', 5.0)",SE0>script delay 5000,
1,1657894568.00647,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0007000000')"
1,1657897200.0,"('delay until ', 1657897200.0)",SE0>script delayuntil 1657897200,
1,1657897200.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000800201C')"
1,1657897200.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A00341C')"
1,1657897200.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000700391C')"
1,1657897200.013458,read the current time ,1657897200.013458,
1,1657897200.013458,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0007010100')"
1,1657897201.013458,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657897201.013458,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A010100')"
1,1657897202.013458,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657897202.013458,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0008010100')"
1,1657897382.013458,"('delay of ', 180.0)",SE0>script delay 180000,
1,1657897382.013458,34,3,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 0F')"
-1,1657897385.013458,35,3,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 0F')"
1,1657897385.013458,34,3,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 0F')"
-1,1657897388.013458,35,3,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 0F')"
1,1657897398.013458,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657897398.020782,read the current time ,1657897398.020782,
1,1657897398.020782,25,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 01')"
1,1657897408.020782,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657897408.020782,26,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 01')"
1,1657897418.020782,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657897418.020782,25,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 01')"
1,1657897428.020782,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657897428.020782,26,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 01')"
1,1657897468.020782,"('delay of ', 40.0)",SE0>script delay 40000,
1,1657897467.968048,read the current time ,1657897467.968048,
1,1657897467.968048,27,11,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 02')"
1,1657897477.968048,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657897477.968048,28,11,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 02')"
1,1657897487.968048,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657897487.968048,27,11,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 02')"
1,1657897497.968048,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657897497.968048,28,11,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 02')"
1,1657897557.968048,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657897557.972809,read the current time ,1657897557.972809,
1,1657897557.972809,9,8,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 08')"
1,1657897558.972809,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657897558.972809,13,1,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 01')"
1,1657897559.972809,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657897559.972809,9,8,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 08')"
1,1657897560.972809,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657897560.972809,13,1,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 01')"
1,1657897620.972809,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657897620.978394,read the current time ,1657897620.978394,
1,1657897620.978394,1,0,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 00')"
1,1657897630.978394,"('delay of ', 10.0)",SE0>script delay 10000,
-1,1657897633.978394,12,0,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 00')"
1,1657897643.978394,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657897643.978394,1,0,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 00')"
1,1657897653.978394,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657897653.978394,12,0,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 00')"
1,1657897713.978394,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657897713.982178,read the current time ,1657897713.982178,
1,1657897717.482178,"('delay of ', 3.5)",SE0>script delay 3500,
1,1657897717.482208,read the current time ,1657897717.482208,
1,1657897717.482208,23,14,"('cmnd found in list ', 'SE0>csp txrx 12 9 3000 000000094004400460014004')"
1,1657897727.482208,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657897727.482208,24,14,"('cmnd found in list ', 'SE0>csp txrx 13 9 3000 0F0F00096006600660066006')"
1,1657897767.482208,"('delay of ', 40.0)",SE0>script delay 40000,
1,1657897767.482208,23,14,"('cmnd found in list ', 'SE0>csp txrx 12 9 3000 000000094004400460014004')"
1,1657897777.482208,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657897777.482208,24,14,"('cmnd found in list ', 'SE0>csp txrx 13 9 3000 0F0F00096006600660066006')"
1,1657897777.488342,read the current time ,1657897777.488342,
1,1657897781.988342,"('delay of ', 4.5)",SE0>script delay 4500,
1,1657897781.99176,read the current time ,1657897781.99176,
1,1657899900.0,"('delay until ', 1657899900.0)",SE0>script delayuntil 1657899900,
1,1657899900.004608,read the current time ,1657899900.004608,
-1,1657899903.004608,36,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 08')"
1,1657899913.004608,"('delay of ', 10.0)",SE0>script delay 10000,
-1,1657899916.004608,37,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 08')"
1,1657899946.004608,"('delay of ', 30.0)",SE0>script delay 30000,
1,1657899946.004608,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0008000000')"
1,1657899966.004608,"('delay of ', 20.0)",SE0>script delay 20000,
1,1657899966.004608,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A000000')"
1,1657899971.004608,"('delay of ', 5.0)",SE0>script delay 5000,
1,1657899971.004608,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0007000000')"
1,1657902600.0,"('delay until ', 1657902600.0)",SE0>script delayuntil 1657902600,
1,1657902600.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000800201C')"
1,1657902600.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A00341C')"
1,1657902600.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000700391C')"
1,1657902600.017914,read the current time ,1657902600.017914,
1,1657902600.017914,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0007010100')"
1,1657902601.017914,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657902601.017914,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A010100')"
1,1657902602.017914,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657902602.017914,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0008010100')"
1,1657902782.017914,"('delay of ', 180.0)",SE0>script delay 180000,
-1,1657902785.017914,34,3,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 0F')"
1,1657902785.017914,35,3,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 0F')"
1,1657902785.017914,34,3,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 0F')"
1,1657902785.017914,35,3,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 0F')"
1,1657902795.017914,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657902795.028809,read the current time ,1657902795.028809,
1,1657902795.028809,25,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 01')"
1,1657902805.028809,"('delay of ', 10.0)",SE0>script delay 10000,
-1,1657902808.028809,26,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 01')"
1,1657902818.028809,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657902818.028809,25,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 01')"
1,1657902828.028809,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657902828.028809,26,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 01')"
1,1657902868.028809,"('delay of ', 40.0)",SE0>script delay 40000,
1,1657902867.975098,read the current time ,1657902867.975098,
1,1657902867.975098,27,11,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 02')"
1,1657902877.975098,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657902877.975098,28,11,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 02')"
1,1657902887.975098,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657902887.975098,27,11,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 02')"
1,1657902897.975098,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657902897.975098,28,11,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 02')"
1,1657902957.975098,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657902957.97995,read the current time ,1657902957.97995,
1,1657902957.97995,9,8,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 08')"
1,1657902958.97995,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657902958.97995,13,1,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 01')"
1,1657902959.97995,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657902959.97995,9,8,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 08')"
1,1657902960.97995,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657902960.97995,13,1,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 01')"
1,1657903020.97995,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657903020.984528,read the current time ,1657903020.984528,
1,1657903020.984528,1,0,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 00')"
1,1657903030.984528,"('delay of ', 10.0)",SE0>script delay 10000,
-1,1657903033.984528,12,0,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 00')"
1,1657903043.984528,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657903043.984528,1,0,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 00')"
1,1657903053.984528,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657903053.984528,12,0,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 00')"
1,1657903113.984528,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657903113.988373,read the current time ,1657903113.988373,
1,1657903117.488373,"('delay of ', 3.5)",SE0>script delay 3500,
1,1657903117.488403,read the current time ,1657903117.488403,
1,1657903117.488403,23,14,"('cmnd found in list ', 'SE0>csp txrx 12 9 3000 000000094004400460014004')"
1,1657903127.488403,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657903127.488403,24,14,"('cmnd found in list ', 'SE0>csp txrx 13 9 3000 0F0F00096006600660066006')"
1,1657903167.488403,"('delay of ', 40.0)",SE0>script delay 40000,
-1,1657903170.488403,23,14,"('cmnd found in list ', 'SE0>csp txrx 12 9 3000 000000094004400460014004')"
1,1657903180.488403,"('delay of ', 10.0)",SE0>script delay 10000,
-1,1657903183.488403,24,14,"('cmnd found in list ', 'SE0>csp txrx 13 9 3000 0F0F00096006600660066006')"
1,1657903183.494019,read the current time ,1657903183.494019,
1,1657903187.994019,"('delay of ', 4.5)",SE0>script delay 4500,
1,1657903187.994049,read the current time ,1657903187.994049,
1,1657905300.0,"('delay until ', 1657905300.0)",SE0>script delayuntil 1657905300,
1,1657905300.006226,read the current time ,1657905300.006226,
1,1657905300.006226,36,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 08')"
1,1657905310.006226,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657905310.006226,37,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 08')"
1,1657905340.006226,"('delay of ', 30.0)",SE0>script delay 30000,
1,1657905340.006226,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0008000000')"
1,1657905360.006226,"('delay of ', 20.0)",SE0>script delay 20000,
1,1657905360.006226,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A000000')"
1,1657905365.006226,"('delay of ', 5.0)",SE0>script delay 5000,
1,1657905365.006226,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0007000000')"
1,1657908000.0,"('delay until ', 1657908000.0)",SE0>script delayuntil 1657908000,
1,1657908000.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000800201C')"
1,1657908000.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A00341C')"
1,1657908000.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000700391C')"
1,1657908000.013458,read the current time ,1657908000.013458,
1,1657908000.013458,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0007010100')"
1,1657908001.013458,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657908001.013458,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A010100')"
1,1657908002.013458,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657908002.013458,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0008010100')"
1,1657908182.013458,"('delay of ', 180.0)",SE0>script delay 180000,
1,1657908182.013458,34,3,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 0F')"
1,1657908182.013458,35,3,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 0F')"
1,1657908182.013458,34,3,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 0F')"
1,1657908182.013458,35,3,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 0F')"
1,1657908192.013458,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908192.025879,read the current time ,1657908192.025879,
1,1657908192.025879,25,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 01')"
1,1657908202.025879,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908202.025879,26,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 01')"
1,1657908212.025879,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908212.025879,25,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 01')"
1,1657908222.025879,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908222.025879,26,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 01')"
1,1657908262.025879,"('delay of ', 40.0)",SE0>script delay 40000,
1,1657908261.983063,read the current time ,1657908261.983063,
1,1657908261.983063,27,11,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 02')"
1,1657908271.983063,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908271.983063,28,11,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 02')"
1,1657908281.983063,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908281.983063,27,11,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 02')"
1,1657908291.983063,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908291.983063,28,11,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 02')"
1,1657908351.983063,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657908351.988129,read the current time ,1657908351.988129,
1,1657908351.988129,9,8,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 08')"
1,1657908352.988129,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657908352.988129,13,1,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 01')"
1,1657908353.988129,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657908353.988129,9,8,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 08')"
1,1657908354.988129,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657908354.988129,13,1,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 01')"
1,1657908414.988129,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657908414.992676,read the current time ,1657908414.992676,
1,1657908414.992676,1,0,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 00')"
1,1657908424.992676,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908424.992676,12,0,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 00')"
1,1657908434.992676,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908434.992676,1,0,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 00')"
1,1657908444.992676,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908444.992676,12,0,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 00')"
1,1657908504.992676,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657908504.997345,read the current time ,1657908504.997345,
1,1657908508.497345,"('delay of ', 3.5)",SE0>script delay 3500,
1,1657908508.497375,read the current time ,1657908508.497375,
1,1657908508.497375,23,14,"('cmnd found in list ', 'SE0>csp txrx 12 9 3000 000000094004400460014004')"
1,1657908518.497375,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908518.497375,24,14,"('cmnd found in list ', 'SE0>csp txrx 13 9 3000 0F0F00096006600660066006')"
1,1657908558.497375,"('delay of ', 40.0)",SE0>script delay 40000,
-1,1657908561.497375,23,14,"('cmnd found in list ', 'SE0>csp txrx 12 9 3000 000000094004400460014004')"
1,1657908571.497375,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908571.497375,24,14,"('cmnd found in list ', 'SE0>csp txrx 13 9 3000 0F0F00096006600660066006')"
1,1657908571.502777,read the current time ,1657908571.502777,
1,1657908576.002777,"('delay of ', 4.5)",SE0>script delay 4500,
1,1657908576.003052,read the current time ,1657908576.003052,
1,1657910700.0,"('delay until ', 1657910700.0)",SE0>script delayuntil 1657910700,
1,1657910700.00354,read the current time ,1657910700.00354,
1,1657910700.00354,36,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 08')"
1,1657910710.00354,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657910710.00354,37,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 08')"
1,1657910740.00354,"('delay of ', 30.0)",SE0>script delay 30000,
1,1657910740.00354,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0008000000')"
1,1657910760.00354,"('delay of ', 20.0)",SE0>script delay 20000,
1,1657910760.00354,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A000000')"
1,1657910765.00354,"('delay of ', 5.0)",SE0>script delay 5000,
1,1657910765.00354,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0007000000')"
1,1657913400.0,"('delay until ', 1657913400.0)",SE0>script delayuntil 1657913400,
1,1657913400.0,unidentified command ,SE0># End Of Script 15 Jul 2022 19:30:30,
1,1657913400.0,-1,17,LOG END
1,1657913400.0,-1,17,LOG END
