ID_COMMAND_Proposed,CSP COMMAND,NODE,PORT,Timeout [ms],Message,Description,ID_in_Graph
1,csp txrx,12,8,3000,00,"Load Scenario 0 (Default), PMT PAYLOAD",0
2,csp txrx,12,8,3000,01,"Load Scenario 1, PMT PAYLOAD",1
3,csp txrx,12,8,3000,02,"Load Scenario 2, PMT PAYLOAD",2
4,csp txrx,12,8,3000,03,"Load Scenario 3, PMT PAYLOAD",3
5,csp txrx,12,8,3000,04,"Load Scenario 4, PMT PAYLOAD",4
6,csp txrx,12,8,3000,05,"Load Scenario 5, PMT PAYLOAD",5
7,csp txrx,12,8,3000,06,"Load Scenario 6, PMT PAYLOAD",6
8,csp txrx,12,8,3000,07,"Load Scenario 7, PMT PAYLOAD",7
9,csp txrx,12,8,3000,08,"Load Scenario 8, PMT PAYLOAD",8
10,csp txrx,12,8,3000,09,"Load Scenario 9, PMT PAYLOAD",9
11,csp txrx,12,8,3000,10,"Load Scenario 10, PMT PAYLOAD",10
12,csp txrx,13,8,3000,00,"Load Scenario 0 (Default), SiPM PAYLOAD",0
13,csp txrx,13,8,3000,01,"Load Scenario 1, SiPM PAYLOAD",1
14,csp txrx,13,8,3000,02,"Load Scenario 2, SiPM PAYLOAD",2
15,csp txrx,13,8,3000,03,"Load Scenario 3, SiPM PAYLOAD",3
16,csp txrx,13,8,3000,04,"Load Scenario 4, SiPM PAYLOAD",4
17,csp txrx,13,8,3000,05,"Load Scenario 5, SiPM PAYLOAD",5
18,csp txrx,13,8,3000,06,"Load Scenario 6, SiPM PAYLOAD",6
19,csp txrx,13,8,3000,07,"Load Scenario 7, SiPM PAYLOAD",7
20,csp txrx,13,8,3000,08,"Load Scenario 8, SiPM PAYLOAD",8
21,csp txrx,13,8,3000,09,"Load Scenario 9, SiPM PAYLOAD",9
22,csp txrx,13,8,3000,10,"Load Scenario 10, SiPM PAYLOAD",10
23,csp txrx,12,9,3000,0F,Load CUSTOM Scenario PMT PAYLOAD,14
24,csp txrx,13,9,3000,0F,Load CUSTOM Scenario SiPM PAYLOAD,14
25,csp txrx,12,4,3000,01,"Load Scenario Suspended, PMT PAYLOAD",12
26,csp txrx,13,4,3000,01,"Load Scenario Suspended, SiPM PAYLOAD",12
27,csp txrx,12,4,3000,02,"Load Scenario Awaken, PMT PAYLOAD",11
28,csp txrx,13,4,3000,02,"Load Scenario Awaken, SiPM PAYLOAD",11
29,csp txrx,12,4,3000,04,Reboot PMT Payload,13
30,csp txrx,13,4,3000,04,Reboot SiPM Payload,13
31,csp txrx,12,1,3000,00,Ping PMT PAYLOAD,15
32,csp txrx,13,1,3000,00,Ping SiPM PAYLOAD,15
33,csp txrx,4,14,600,-1,Emergency Power-off of PAYLOAD if OBC reboots,16

-1,,,,,,End Log,17